conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Методи та принципи розроблення програмного забезпечення, як-от аналіз, алгоритми, кодування, тестування та компіляція парадигм програмування в Haskell.
	",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,комп’ютерне програмування | розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,інкрементне розроблення,released,knowledge,sector-specific,,"Модель інкрементного розроблення — це методологія розроблення програмних систем і додатків.
	",http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,методології управління ІКТ-проєктами | розроблення й аналіз програмного забезпечення та прикладних програм
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Комп’ютерна програма KDevelop — це набір засобів розроблення програмного забезпечення для написання програм, як-от компілятор, налагоджувач, редактор коду, підсвічування синтаксису коду, упаковані в уніфікований інтерфейс користувача. Вона розроблена спільнотою розробників програмного забезпечення KDE.
	",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,інтегроване середовище розробки програмного забезпечення | проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (системи управління навчанням),released,knowledge,sector-specific,,"Навчальна система Absorb — це платформа електронного навчання для створення, адміністрування та проведення навчальних курсів або навчальних програм електронного навчання для учнів середньої школи.
	",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,системи управління навчанням | проєктування й адміністрування баз даних і мереж
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,розробляти новітні типи блокчейн-архітектури,released,skill/competence,cross-sector,,"Розробляти нові типи блокчейн-архітектури для реалізації властивостей і пріоритетів, які необхідні для конкретних застосувань. Аргументувати переваги та недоліки таких нових архітектур у порівнянні з наявними.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,проєктування систем або програм ІКТ
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,інженерія мереж,released,knowledge,sector-specific,,"Підрозділ комп’ютерної технології, який стосується управління зв’язком у мережах шляхом передачі даних, голосових повідомлень, викликів і безпровідних мережевих служб.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,комп’ютерні технології | електроніка й автоматизація
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,переміщати наявні дані,released,skill/competence,sector-specific,,"Застосовувати способи міграції й перетворення існуючих даних, щоб переносити дані до інших сховищ чи комп’ютерних систем або конвертувати їх у інші формати.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,визначати фізичну структуру баз даних,released,skill/competence,sector-specific,,"Визначати фізичну структуру файлів бази даних на наданих носіях. До них належать докладні специфікації параметрів індексування, типи й елементи даних, розміщені у словнику бази даних.
	",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"керування, збір і зберігання цифрових даних"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Платформа Maltego — це програма для проведення судових експертиз, яка використовує інтелектуальний аналіз даних для огляду середовища організації, тестування слабких місць безпеки системи на предмет потенційно несанкціонованого доступу та демонструє комплексність перебоїв у інфраструктурі.
	",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,розроблення й аналіз програмного забезпечення та прикладних програм | інструмент для тестування на проникнення
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,експлуатувати радіообладнання,released,skill/competence,cross-sector,,"Здійснювати налаштування радіоапаратури та аксесуарів, зокрема трансляційних консолей, підсилювачів і мікрофонів, а також працювати з ними. Розуміти основи мови радіооператора та, в разі потреби, надавати інструктаж щодо правильної експлуатації радіоапаратури.
	",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,координувати телекомунікації | експлуатація обладнання зв’язку
