conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,навчати персонал зменшенню харчових відходів,released,skill/competence,sector-specific,,"Створювати нові тренінги та положення про підвищення кваліфікації персоналу для підтримки знань персоналу щодо запобігання марнуванню харчових продуктів та практики переробки харчових продуктів. Переконуватися, що персонал розуміє методи та обладнання для переробки їжі, наприклад, розділення відходів.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,навчання оперативним процедурам
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,розробляти концепції енергозбереження,released,skill/competence,cross-sector,,"Використовувати поточні результати досліджень та співпрацювати з експертами для оптимізації або розробки концепцій, обладнання та виробничих процесів, які потребують меншої кількості енергії, зокрема, нових методів ізоляції та матеріалів.
	",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,мислити інноваційно | розроблення операційної політики й процедур
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,установлювати теплові насоси,released,skill/competence,cross-sector,,"Установлювати теплові насоси, які використовують фізичні властивості речовин, що називаються холодоагентами, для поглинання теплової енергії навколишнього середовища та її транспортування до середовищ з більш високою температурою, тобто у напрямку, протилежному спонтанному потоку тепла. Робити необхідні отвори й встановлювати внутрішній та зовнішній блоки теплового насоса. Під’єднувати усі елементи живлення та канали й налаштовувати тепловий насос.
	",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"установлення обладнання для опалення, вентиляції та кондиціонування повітря"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,проєктувати установки на біомасі,released,skill/competence,sector-specific,,"Проєктувати установки з переробки біомаси. Визначати межі будівництва, як-от необхідний простір і вага. Розраховувати такі показники, як-от потужність, потік і температури. Складати детальні описи та креслення конструкції.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,проєктування електричних або електронних систем або обладнання
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,обслуговувати сортувальне обладнання,released,skill/competence,sector-specific,,"Виконувати планове технічне обслуговування, а також дрібний ремонт обладнання, яке використовується для сортування відходів і матеріалів, що підлягають вторинній переробці.
	",http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,обслуговувати обладнання | установлення дерев’яних і металевих компонентів
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,сприяти збереженню біорізноманіття та добробуту тварин,released,skill/competence,transversal,,"Застосовувати норми поведінки, які сприяють збереженню стійких екосистем та боротьбі з масовим вимиранням, наприклад, робити свідомий вибір на користь дієтичного харчування, що підтримує виробництво органічних харчових продуктів та добробут тварин.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,виконувати техніко-економічне обґрунтування систем управління будівлею,released,skill/competence,sector-specific,,"Проводити оцінку та аналіз потенціалу системи управління будівлею. Проводити стандартизоване дослідження для визначення внеску в енергозбереження, витрат і обмежень, а також проводити дослідження для підтримки процесу прийняття рішень.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,виконувати техніко-економічне обґрунтування | аналіз господарських операцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,нормативи впливу забруднення,released,knowledge,cross-sector,,"Нормативні акти, що стосуються впливу забруднених матеріалів або небезпечного середовища, які регулюють дії, пов’язані з оцінкою ризику, мінімізацією подальшого впливу, карантином і лікуванням осіб, які зазнали такого впливу.
	",http://data.europa.eu/esco/isced-f/1021,громадська санітарія
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,видаляти забруднені матеріали,released,skill/competence,sector-specific,,"Видаляти матеріали та обладнання, забруднені небезпечними речовинами, щоб захистити оточення від подальшого забруднення, а також переробляти або утилізувати забруднені матеріали.
	",http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,оцінювати забруднення | обробка й утилізація небезпечних матеріалів
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,рятувати тварин,released,skill/competence,sector-specific,,"Рятувати тварин, які знаходяться в ситуаціях, що становлять безпосередню або потенційну загрозу їх життю.
	",http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,підтримання й забезпечення фізичної безпеки
