conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,технічний директор/технічна директорка,,,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Технічні директори реалізують художні бачення творців у рамках технічних обмежень. Вони координують роботу різних виробничих підрозділів, як-от сцена, костюми, звук і освітлення, а також грим. Вони адаптують початкову версію і вивчають техніко-економічне обґрунтування, реалізацію, функціонування та слідкують за втіленням художнього проєкту з технічної точки хору. Вони також відповідають за сценічне обладнання та технічне оснащення.
	",2654.1.7,http://data.europa.eu/ux2/nace2.1/9031
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,оператор волочильного верстату/операторка волочильного верстату,,,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Оператори волочильного верстату встановлюють і експлуатують волочильні верстати для виробів з чорних і кольорових металів, призначені для надання дротам, пруткам, трубам, порожнистим профілям і трубам їхньої специфічної форми шляхом зменшення їх поперечного перерізу та протягування робочих матеріалів через серію волочильників.
	",8121.4,http://data.europa.eu/ux2/nace2.1/242
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,інспектор прецизійних приладів/інспекторка прецизійних приладів,,,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Інспектори прецизійних приладів перевіряють, щоб прецизійні прилади, зокрема мікрометри та вимірювальні прилади, працювали відповідно до проєктних специфікацій. Вони можуть проводити налаштування прецизійних приладів і їхніх компонентів у разі виникнення будь-яких несправностей.
	",7543.10.3,http://data.europa.eu/ux2/nace2.1/2651
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,технік з безпеки повітряного руху,,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Техніки з безпеки повітряного руху надають технічну підтримку щодо безпеки систем управління повітряним рухом і навігації. Вони проєктують, обслуговують, встановлюють і експлуатують ці системи як в аеропорту, так і на борту літака згідно з правилами.
	",3155.1,http://data.europa.eu/ux2/nace2.1/5223
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,менеджер із доходів готельного бізнесу/менеджерка із доходів готельного бізнесу,,,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Менеджери з доходів готельного бізнесу максимізують дохід від таких об’єктів, як-от готелі, курорти та кемпінги, аналізуючи тенденції та конкуренцію. Вони допомагають керівникам установ ухвалювати стратегічні рішення. Менеджери з доходів готельного бізнесу аналізують та оптимізують фінансовий потенціал закладів та керують відповідним персоналом.
	",2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55"
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,медичний лаборант/медична лаборантка,,,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Медичні лаборанти працюють під наглядом біомедика та виконують основні лабораторні процедури. Вони працюють над доаналізною обробкою зразків, наприклад, перевіряють подробиці зразків, отриманих для аналізу, обслуговують аналізатори, завантажують реагенти та сортують зразки. Вони також виконують канцелярські завдання, як-от моніторинг рівня запасів реагентів, що використовуються для аналізу.
	",3212.2,http://data.europa.eu/ux2/nace2.1/861
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,лаборант із перевірки асфальту/лаборантка із перевірки асфальту,,,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Лаборанти з перевірки асфальту перевіряють асфальт і відповідну сировину, а також проводять лабораторні випробування, щоб забезпечити високу якість продукції. Вони також беруть участь у вирішенні технічних питань на будівельних майданчиках.
	",3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399"
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,помічник вчителя початкової школи/помічниця вчителя початкової школи,,,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Помічники вчителів початкових шкіл надають навчально-методичну й практичну підтримку вчителям початкових шкіл. Вони сприяють навчанню учнів, які потребують додаткової уваги, і розробляють матеріали, необхідні вчителю на уроці. Вони також виконують канцелярську роботу, стежать за успішністю навчання і поведінкою учнів, наглядають за учнями разом із директором або без нього.
	",5312.2,http://data.europa.eu/ux2/nace2.1/852
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,фізіотерапевт/фізіотерапевтка,,,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Фізіотерапевти – це автономні медичні працівники, які відповідають за розвиток, підтримку або відновлення рухових функцій і рухів протягом усього життя, використовуючи практику, що ґрунтується на фактичних даних. Вони допомагають полегшити біль, проводять лікування або профілактику фізичних станів, пов’язаних із травмою, хворобою чи іншими порушеннями. Фізіотерапевти дають пацієнтам та особам, які за ними доглядають, можливість контролювати свій стан поза клінічними умовами. Вони працюють у межах своєї практики та кодексу професійної етики.
	",2264.2,http://data.europa.eu/ux2/nace2.1/8695
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,викладач театрального мистецтва/викладачка театрального мистецтва,,,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Викладачі театрального мистецтва навчають учнів спеціальним теоретичним і, головним чином, практичним театральним дисциплінам у спеціалізованому чи звичайному театрі або в акторській школі чи консерваторії на рівні вищої освіти. Вони забезпечують теоретичну підготовку з використання практичних навичок і методів, які учні повинні опанувати у театральному мистецтві. Викладачі театрального мистецтва стежать за успішністю учнів, допомагають індивідуально, коли це необхідно, і оцінюють їхні знання та успішність з театрального мистецтва за допомогою завдань, тестів та іспитів.
	",2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853"
