conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,біомедичний інженер/біомедична інженерка,released,,"Біомедичні інженери поєднують знання інженерних принципів і біологічних відкриттів для розробки методів лікування й медикаментів для загальної охорони здоров’я. Вони можуть розробляти різні рішення, починаючи від вдосконалення компонентів звичайних ліків до розробки імплантатів і лікування тканин.
	",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,біоінженер/біоінженерка
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,кримінолог/кримінологиня,released,,"Кримінологи вивчають умови для людей, наприклад, соціальні та психологічні аспекти, які можуть спонукати їх до вчинення кримінальних дій. Вони спостерігають і аналізують різні чинники, від поведінкових умов і до соціального походження та оточення підозрюваних, щоб консультувати організації щодо запобігання злочинам.
	",http://data.europa.eu/esco/isco/C2632,"Соціологи, антропологи й пов’язані з ними професіонали"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,викладач економіки закладу вищої освіти/викладачка економіки закладу вищої освіти,released,,"Викладачі економіки закладу вищої освіти – це професори, які спеціалізуються на певних предметах, доценти, викладачі, асистенти викладачів, наставники, які навчають учнів за своєю спеціалізацією – економікою. Вони розробляють навчальний план, готують заняття (лекції, практичні заняття, семінари, тренінги тощо), контролюють результати навчання й навчальний план учня. Вони проводять наукові дослідження у своїй галузі економіки та представляють свої результати на конференціях і в публікаціях. Вони беруть часткову участь в управлінні університетом.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,викладач медицини закладу вищої освіти/викладачка медицини закладу вищої освіти,released,,"Викладачі медицини закладу вищої освіти – це професори, викладачі, лектори, а іноді навіть студенти, які спеціалізуються на певних предметах і навчають студентів, що отримали диплом про повну середню освіту, у своїй власній спеціалізованій галузі навчання, медицині, яка носить переважно академічний характер. Спільно з науковими співробітниками та асистентами викладачів університетів вони готують лекції та іспити, оцінюють роботи й іспити, проводять лабораторні практичні заняття, а також займаються атестацією і розбиранням робіт студентів. Вони також проводять академічні дослідження у відповідній галузі медицини, публікують свої висновки та взаємодіють із колегами з інших університетів.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,інженер із медичного обладнання/інженерка із медичного обладнання,released,,"Інженери з медичного обладнання проєктують і розробляють медико-технічні системи, установки та обладнання, наприклад, кардіостимулятори, МРТ-сканери та рентгенівські апарати. Вони контролюють весь виробничий процес від розробки концепції до впровадження продукту. Така діяльність охоплює, серед іншого, розробку вдосконалень продукту, розробку методів і технік для оцінки придатності конструкції, координацію початкового виробництва, розробку процедур випробувань і проєктування схем виробництва.
	",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,інженер-електронік/інженерка-електронік
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,історик/історикиня,released,,"Історики досліджують, аналізують, тлумачать і представляють минуле людських суспільств. Вони аналізують документи, джерела та сліди з минулого, щоб зрозуміти суспільства тих часів.
	",http://data.europa.eu/esco/isco/C2633,"Філософи, історики й політологи"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,хімік/хімікиня,released,,"Хіміки виконують лабораторні дослідження, перевіряючи та аналізуючи хімічну структуру речовин. Вони втілюють результати досліджень у процеси промислового виробництва, які надалі використовуються для розробки або вдосконалення продуктів. Хіміки також перевіряють якість виробленої продукції та її вплив на навколишнє середовище.
	",http://data.europa.eu/esco/isco/C2113,Хіміки
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,фармаколог/фармакологиня,released,,"Фармакологи вивчають спосіб взаємодії ліків і медикаментів з організмами, живими системами та їхніми частинами (тобто клітинами, тканинами чи органами). Їхні дослідження спрямовані на виявлення речовин, які можуть вживати люди і які виконують відповідні біохімічні функції для лікування хвороб.
	",http://data.europa.eu/esco/isco/C2131,"Біологи, ботаніки, зоологи й пов’язані з ними професіонали"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,викладач соціології закладу вищої освіти/викладачка соціології закладу вищої освіти,released,,"Викладачі соціології закладу вищої освіти — це професори, вчителі або викладачі предметів, які навчають учнів, які отримали диплом про повну середню освіту у своїй спеціальній галузі навчання — соціології, яка має переважно академічний характер. Вони працюють зі своїми університетськими науковими помічниками та університетськими помічниками викладачів \nдля підготовки лекцій та іспитів, для оцінювання робіт та іспитів, а також для проведення оглядів та відгуків щодо учнів. Вони також проводять наукові дослідження у своїй галузі соціології, публікують свої висновки та підтримують зв’язок з іншими колегами з університету.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,лікар-кінезіолог/лікарка-кінезіологиня,released,,"Лікарі-кінезіологи вивчають і досліджують рух тіла; його м’язи та частини. Вони аналізують і використовують наукові дані та методи для покращення руху тіла, зазвичай у людей, за використання знань в таких областей, як фізіологія, кінетика, неврологія та біологія. Вони визначають вплив деяких факторів, зокрема стану тіла, на рух і розробляють рішення для покращення загальної рухливість та пересування.
	",http://data.europa.eu/esco/isco/C2269,"Професіонали медичної сфери, не віднесені до інших категорій"
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,хімік-косметик/хімікиня-косметик,released,,"Хіміки-косметики розробляють формули для створення та тестування нових косметичних продуктів і вдосконалення наявних косметичних продуктів, як-от парфуми та ароматизатори, губна помада, водостійкі лосьйони та макіяж, фарби для волосся, мило та мийні засоби зі спеціальними властивостями, косметичні лікарські засоби чи дієтичні добавки для покращення стану здоров’я.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,хімік/хімікиня
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,еколог-дослідник/екологиня-дослідниця,released,,"Екологи-дослідники виявляють проблеми та знаходять рішення, щоб мінімізувати небезпеку для навколишнього середовища, аналізуючи зразки повітря, води чи ґрунту. Вони надають консультації або розробляють політику щодо охорони навколишнього середовища та мають на меті покращити умови збереження водопостачання та управління місцями утилізації відходів. Екологи-дослідники проводять оцінку екологічних ризиків і аналізують вплив на навколишнє середовище нових рішень, будівельних майданчиків або змін у навколишньому середовищі, забезпечуючи дотримання екологічних норм.
	",http://data.europa.eu/esco/isco/C2133,Професіонали з охорони навколишнього середовища
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,соціолог/соціологиня,released,,"Соціологи зосереджують свої дослідження на поясненні соціальної поведінки та того, як люди організували себе як суспільство. Вони досліджують і пояснюють, як розвивалися суспільства, описуючи їхні правові, політичні та економічні системи та їхнє культурне самовираження.
	",http://data.europa.eu/esco/isco/C2632,"Соціологи, антропологи й пов’язані з ними професіонали"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,біофізик/біофізикиня,released,,"Біофізики вивчають існуючий зв’язок між живими організмами та фізикою. Вони проводять дослідження живих організмів на основі методів фізики, які мають на меті пояснити багатоманітність життя, передбачити закономірності та зробити висновки щодо аспектів життя. Сфера досліджень біофізиків охоплює дослідження ДНК, білків, молекул, клітин та навколишнього середовища.
	",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,біолог/біологиня
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,медіазнавець/медіазнавиця,released,,"Медіазнавці досліджують роль ЗМІ в суспільстві та його вплив на нього. Вони спостерігають і документують використання різних ЗМІ, зокрема газети, радіо та телебачення, а також реакцію суспільства.
	",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,антрополог/антропологиня
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,викладач сестринської справи закладу вищої освіти/викладачка сестринської справи закладу вищої освіти,released,,"Викладачі сестринської справи – це професори, викладачі або лектори, які спеціалізуються на певних предметах і навчають студентів, що отримали диплом про повну середню освіту, у своїй власній спеціалізованій галузі навчання, сестринській справі, яка носить переважно академічний характер. Спільно з науковими співробітниками та асистентами викладачів університетів вони готують лекції та іспити, оцінюють роботи й іспити, проводять лабораторні практичні заняття, а також займаються атестацією і розбиранням робіт студентів. Вони також проводять академічні дослідження у відповідній галузі сестринської справи, публікують свої висновки та взаємодіють із колегами з інших університетів.
	",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,викладач закладу вищої освіти/викладачка закладу вищої освіти
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,метеоролог/метеорологиня,released,,"Метеорологи вивчають кліматичні процеси, вимірюють і прогнозують погодні умови та надають консультаційні послуги різноманітним користувачам інформації про погоду. Вони розробляють моделі для прогнозування погоди, інструменти для збору метеорологічних даних і складання статистики та баз даних.
	",http://data.europa.eu/esco/isco/C2112,Метеорологи
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,інженер-проєктувальник електромагнітних пристроїв/інженерка-проєктувальниця електромагнітних пристроїв,released,,"Інженери-проєктувальники електромагнітних пристроїв проєктують і розробляють електромагнітні системи, пристрої та компоненти, зокрема електромагніти в гучномовцях, електромагнітні замки, провідні магніти в системах МРТ і магніти в електродвигунах.
	",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,інженер-електрик/інженерка-електрикиня
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,археолог/археологиня,released,,"Археологи досліджують і вивчають минулі цивілізації та поселення, збираючи та перевіряючи матеріальні залишки. Вони аналізують і роблять висновки з широкого спектру питань, таких як системи ієрархії, лінгвістика, культура та політика на основі вивчення об’єктів, структур, скам’янілостей, реліквій та артефактів, залишених народами. Археологи використовують різні міждисциплінарні методи, як-от стратиграфія, типологія, 3D-аналіз, математика та моделювання.
	",http://data.europa.eu/esco/isco/C2632,"Соціологи, антропологи й пов’язані з ними професіонали"
