conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,створювати наукові чи академічні статті й технічну документацію,released,skill/competence,cross-sector,,"Створювати та редагувати наукові, академічні чи технічні тексти на різні теми.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,технічне або академічне письмо
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,розпоряджатись даними досліджень,released,skill/competence,cross-sector,,"Створювати та аналізувати наукові дані, отримані за допомогою якісних та кількісних методів дослідження. Зберігати та підтримувати дані в дослідницьких базах даних. Підтримувати повторне використання наукових даних і бути знайомим з принципами управління відкритими даними.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,управління інформацією
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,професійно взаємодіяти в дослідницькому та професійному середовищі,released,skill/competence,cross-sector,,"Виявляти увагу до інших, а також колегіальність. Слухати, давати, отримувати зворотній зв’язок та відповідати на зворотній зв’язок інших; це включає нагляд персоналу та керівництво в професійній обставинах.
	",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,робота з іншими
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,поширювати результати серед наукової спільноти,released,skill/competence,cross-sector,,"Оприлюднювати наукові результати будь-якими відповідними засобами, включно з конференціями, семінарами, колоквіумами та науковими публікаціями.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,технічне або академічне письмо
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,використовувати програмне забезпечення з відкритим кодом,released,skill/competence,sector-specific,,"Використовувати програмне забезпечення з відкритим кодом, знаючи основні моделі з відкритим кодом, схеми ліцензування й методи кодування, які зазвичай застосовуються під час створення програмного забезпечення з відкритим кодом.\n
	",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,програмування комп’ютерних систем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,розмовляти різними мовами,released,skill/competence,cross-sector,,"Володіти іноземними мовами, щоб мати можливість спілкуватися однією або кількома.
	",http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,використання іноземних мов
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,оцінювати дослідницьку діяльність,released,skill/competence,cross-sector,,"Оглядати пропозиції, успіхи, вплив та результати колег-дослідників, у тому числі шляхом відкритої експертної оцінки.\n
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,надання зворотного зв’язку
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,демонструвати експертність у дисципліні,released,skill/competence,cross-sector,,"Демонструвати глибокі знання та комплексне розуміння конкретної дослідницької галузі, зокрема відповідальних досліджень, принципів дослідницької етики та наукової доброчесності, конфіденційності та вимог загального регламенту про захист даних (General Data Protection Regulation, GDPR), пов'язаних з дослідницькою діяльністю в межах конкретної дисципліни.
	",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"проведення досліджень, розслідувань й експертиз"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,аналітично мислити,released,skill/competence,transversal,,"Формулювати думки за допомогою логіки та обґрунтування для визначення сильних та слабких сторін альтернативних рішень, висновків або підходів до проблем.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,викладати в навчальному або професійному закладі,released,skill/competence,cross-sector,,"Навчати студентів теорії та практики навчальних чи професійних предметів, передаючи зміст власної та чужої дослідницької діяльності.
	",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,викладання академічних або професійних дисциплін
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,посилювати вплив науки на політику та суспільство,released,skill/competence,cross-sector,,"Впливати на політику та прийняття рішень на основі фактичних даних, надаючи науковий внесок і підтримуючи професійні стосунки з політиками та іншими зацікавленими сторонами. \n
	",http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9 | http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,представлення загальної інформації | впливати на політиків у питаннях соціальних послуг
