conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/00,загальні програми й кваліфікації,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,00
SkillGroup,http://data.europa.eu/esco/isced-f/000,"загальні програми й кваліфікації, не визначені додатково",,,released,2023-07-13T15:16:44.968Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,000
SkillGroup,http://data.europa.eu/esco/isced-f/0000,"загальні програми й кваліфікації, не визначені додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0000
SkillGroup,http://data.europa.eu/esco/isced-f/001,базові програми й кваліфікації,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,001
SkillGroup,http://data.europa.eu/esco/isced-f/0011,базові програми й кваліфікації,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0011
SkillGroup,http://data.europa.eu/esco/isced-f/002,грамотність і уміння рахувати,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,002
SkillGroup,http://data.europa.eu/esco/isced-f/0021,грамотність і уміння рахувати,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0021
SkillGroup,http://data.europa.eu/esco/isced-f/003,особисті навички та розвиток,,,released,2023-07-04T13:43:35.384Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,003
SkillGroup,http://data.europa.eu/esco/isced-f/0031,особисті навички та розвиток,,,released,2024-07-03T13:25:01.639Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0031
SkillGroup,http://data.europa.eu/esco/isced-f/009,"загальні програми й кваліфікації, не віднесені до інших категорій",,,released,2023-10-30T10:21:59.843Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,009
SkillGroup,http://data.europa.eu/esco/isced-f/0099,"загальні програми й кваліфікації, не віднесені до інших категорій",,,released,2023-10-30T10:06:51.66Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0099
SkillGroup,http://data.europa.eu/esco/isced-f/01,освіта,,,released,2022-01-13T14:57:09.082Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,01
SkillGroup,http://data.europa.eu/esco/isced-f/011,освіта,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,011
SkillGroup,http://data.europa.eu/esco/isced-f/0110,"освіта, не визначена додатково",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0110
SkillGroup,http://data.europa.eu/esco/isced-f/0111,педагогіка,,,released,2023-07-04T13:29:46.06Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0111
SkillGroup,http://data.europa.eu/esco/isced-f/0112,підготовка вихователів дошкільних закладів,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0112
