conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,проявляти ініціативу,released,,"Бути проактивним та діяти першим, не чекаючи, що скажуть або зроблять інші.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,сприяти збереженню біорізноманіття та добробуту тварин,released,,"Застосовувати норми поведінки, які сприяють збереженню стійких екосистем та боротьбі з масовим вимиранням, наприклад, робити свідомий вибір на користь дієтичного харчування, що підтримує виробництво органічних харчових продуктів та добробут тварин.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,консультувати інших,released,,"Висувати пропозиції щодо оптимального плану дій.
	",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,підтримка інших
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,приймати критику та вказівки,released,,"Опрацьовувати негативні відгуки інших осіб та відкрито реагувати на критику, намагаючись визначити в ній потенційні напрямки для вдосконалення.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"застосовувати знання з філософії, етики та релігії",released,,"Розкривати та розвивати особистий погляд на роль, значення та ціль людини, зокрема на те, що означає жити, померти та бути людиною.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,застосування загальних знань
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,впроваджувати способи зменшення забруднення,released,,"Уживати заходів для зниження рівня забруднення повітря, шумового забруднення, світлового забруднення, забруднення води або довкілля, наприклад, використовувати громадський транспорт, не забруднювати жодними відходами довкілля та зменшити випромінювання світла і шуму, зокрема вночі.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,виконувати зобов’язання,released,,"Виконувати завдання зібрано, надійно та цілеспрямовано.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,підлаштовуватися до фізичних вимог,released,,"Демонструвати здатність витримувати високий фізичний стрес від роботи або занять спортом. Таке навантаження охоплює перебування в положенні навколішки, положенні стоячи або біг протягом тривалого часу чи роботу в складних метеорологічних умовах, таких як сильна спека, холод і дощ.
	",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,реагування на фізичні обставини
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,нести відповідальність,released,,"Брати на себе відповідальність за власні професійні рішення та дії або рішення та дії, делеговані іншим.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,проявляти рішучість,released,,"Виявляти готовність зробити щось, що є складним та вимагає наполегливої праці. Демонструвати значні зусилля, якими керують інтерес до роботи та насолода нею, за відсутності зовнішнього тиску.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,проводити розрахунки,released,,"Розв’язувати математичні задачі для досягнення пов’язаних із роботою цілей.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,робота із числами й мірами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,долати розчарування,released,,"Зберігати спокій та конструктивно реагувати на власну злість або злість інших чи на перепони або скарги.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,підтримання позитивного настрою
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,skill/competence,transversal,розраховувати ймовірності,released,,"Передбачати ймовірність результату на основі розрахунків або досвіду.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,робота із числами й мірами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,skill/competence,transversal,розпоряджатись фінансовими та матеріальними ресурсами,released,,"Здійснювати ефективне фінансове планування, використовуючи позики, заощадження, інвестиції та субсидії, щоб досягти короткострокових та довгострокових цілей, використовуючи фінансові поради та послуги наставництва із застосуванням критичного мислення, порівнюючи акції та пропозиції під час придбання продуктів або послуг та активно вибираючи відповідні продукти страхування.
	",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,застосування підприємницьких і фінансових навичок та компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,skill/competence,transversal,демонструвати відданість справі,released,,"Виявляти бажання негайно взятися за виконання завдань, навіть якщо вони складні та незручні.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,skill/competence,transversal,швидко мислити,released,,"Бути здатним швидко і точно усвідомлювати та опрацьовувати найважливіші аспекти фактів та зв’язки між ними.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,skill/competence,transversal,оцінювати вплив власної поведінки на навколишнє середовище,released,,"Приймати орієнтований на стійкість світогляд у повсякденному житті та обмірковувати своє особисте ставлення до довкілля та вплив своєї поведінки на довкілля.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,skill/competence,transversal,контролювати якість,released,,"Прагнути до досконалості робочих процесів, продукції та діяльності.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,skill/competence,transversal,здійснювати самоаналіз,released,,"Ефективно, регулярно і систематично обмірковувати власні дії, продуктивність і ставлення та відповідно коригувати їх, намагаючись знайти можливості професійного розвитку, щоб заповнити прогалини в знаннях та практиці у визначених галузях. Оцінювати вплив вашого професійного розвитку.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,демонструвати допитливість,released,,"Виявляти живий інтерес до новизни, відкритість до нового досвіду, знаходити захопливі предмети і теми, активно досліджувати та відкривати нові галузі.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,skill/competence,transversal,керувати особистим розвитком,released,,"Відповідати за свої навички і компетенції та презентувати їх, щоб просуватися вперед у кар’єрі й особистому житті.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,застосування проактивного підходу
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,skill/competence,transversal,позитивно ставитись до викликів,released,,"Застосовувати позитивне ставлення та конструктивний підхід, коли долаєте виклики.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,підтримання позитивного настрою
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,skill/competence,transversal,аналітично мислити,released,,"Формулювати думки за допомогою логіки та обґрунтування для визначення сильних та слабких сторін альтернативних рішень, висновків або підходів до проблем.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,адаптуватися до змін,released,,"Змінювати ставлення або поведінку, щоб підлаштуватися під зміни на робочому місці.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,skill/competence,transversal,впроваджувати способи зменшення негативних наслідків споживання,released,,"Застосовувати принципи, стратегії та норми, спрямовані на екологічну сталість, зокрема зменшувати кількість відходів, скорочувати споживання енергії й води, повторно використовувати і переробляти продукти та долучатися до економіки спільного споживання.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,skill/competence,transversal,підтримувати психологічний добробут,released,,"Уміти уникати загроз для психологічного добробуту, наприклад під час використання цифрових технологій, зокрема зберігати здоровий баланс між роботою, особистим життям і навчанням.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,захищати здоров’я інших людей,released,,"Запобігати завданню шкоди членам сім’ї, підопічним особам і співгромадянам та підтримувати їх реабілітацію, зокрема відповідно реагувати в разі нещасних випадків, наприклад, надавати першу допомогу.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,модерувати дискусію,released,,"Застосовувати техніки та методи модерації для проведення дискусій між двома або більше особами, зокрема на таких заходах як семінари, конференції або онлайн-заходи. Забезпечувати коректність та ввічливість під час дебатів.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,"застосовувати знання з галузі науки, техніки та інженерії",released,,"Розвивати та застосовувати розуміння реального світу і його керівних принципів, наприклад, шляхом складання розсудливих прогнозів щодо причин і наслідків, створення тестувань таких прогнозів та проведення вимірювань за допомогою відповідних установок, інструментів й устаткування.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,застосування загальних знань
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,обробляти просторову інформацію,released,,"Уміти подумки уявляти позицію та відносини тіл у тривимірних просторах, розвиваючи належне почуття пропорційності.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,робота із числами й мірами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,поважати різноманіття культурних цінностей і норм,released,,"Демонструвати навички міжкультурного спілкування та повагу до власних культурних цінностей і норм. Виявляти толерантність до різних цінностей і норм, яких дотримуються різні люди та культури та які сформувалися за різних обставин, в різні часи або в різних місцях, та цінувати їх.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,справлятися з невизначеністю,released,,"Толерантно поводитися та конструктивно працювати в неочікуваних і непередбачуваних ситуаціях.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,підтримання позитивного настрою
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,виступати перед аудиторією,released,,"Говорити структуровано, обмірковано та особисто до групи слухачів, щоб поінформувати їх, вплинути на них або розважити їх.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,працювати в колективах,released,,"Упевнено працювати в групі, де кожен виконує свою частину роботи заради цілого.
	",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,співпраця в командах і спільнотах
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,skill/competence,transversal,демонструвати впевненість,released,,"Демонструвати ступені зрілості завдяки повному розумінню своїх власних якостей і здібностей, які можуть слугувати джерелом упевненості в різних ситуаціях.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,підтримання позитивного настрою
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,інструктувати інших,released,,"Настановляти або навчати інших шляхом забезпечення відповідних знань та підтримки.
	",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,підтримка інших
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,skill/competence,transversal,працювати з цифровим обладнанням,released,,"Використовувати обладнання, як-от монітор, мишу, клавіатуру, запам&apos;ятовуючі пристрої, принтери і сканери та інше обладнання, для виконання таких операцій, як підключення, запуск, завершення роботи, перезавантаження, збереження файлів тощо.
	",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,робота із цифровими пристроями й прикладними програмами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,skill/competence,transversal,"систематизувати інформацію, об’єкти та ресурси",released,,"Розуміти свої завдання та процеси, що їх супроводжують. Організовувати інформацію, об’єкти і ресурси за допомогою систематичних методів і відповідно до встановлених стандартів та забезпечувати освоєння завдання.
	",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,планування й організація
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,інтерпретувати математичну інформацію,released,,"Демонструвати розуміння математичних термінів і концепцій та застосовувати базові математичні принципи і процеси для тлумачення даних і фактів.
	",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,робота із числами й мірами
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,skill/competence,transversal,демонструвати лояльність,released,,"Демонструвати внутрішню прив’язаність до групи чи організації, зокрема поділяти й представляти її цінності.
	",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,дотримання етичного кодексу поведінки
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,очолювати інших людей,released,,"Настановляти, інструктувати та спрямовувати інших до досягнення спільної мети, виконуючи роль лідера часто в групі або команді. Виконувати, діяти та поводитися так, щоб надихнути співробітників наслідувати приклад їхніх керівників.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,керівництво іншими
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,skill/competence,transversal,проявляти емпатію,released,,"Виявляти емпатію, щоб запобігати символічному насильству й ізоляції будь-якого виду та гарантувати тактовну увагу кожному. Сюди слід віднести здатність розуміти різні види вербального та невербального вираження настрою і почуттів.
	",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,підтримка інших
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,домовлятися про компроміси,released,,"Спілкуватися з іншими для досягнення спільного розуміння або врегулювання розбіжностей, не забуваючи про власні наміри чи цілі або наміри чи цілі інших.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,долати стрес,released,,"Справлятися з викликами, крахом і змінами та оговтуватися від невдач і скрути.
	",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,підтримання позитивного настрою
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,працювати ефективно,released,,"Досягати цілей з найменшими витратами часу, зусиль і коштів.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,брати активну участь у громадському житті,released,,"Активно долучатися до діяльності, що становить спільний або громадський інтерес, наприклад, до ініціатив громадян, громад чи сусідства, волонтерських можливостей та недержавних організації.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
